site,date,energy_kwh
plant_0,2024-02-01,100
plant_1,2024-02-02,102
plant_2,2024-02-03,104
plant_3,2024-02-04,106
plant_0,2024-02-05,108
plant_1,2024-02-06,110
plant_2,2024-02-07,112
plant_3,2024-02-08,114
plant_0,2024-02-09,116
plant_1,2024-02-10,118
plant_2,2024-02-11,120
plant_3,2024-02-12,122
plant_0,2024-02-13,124
plant_1,2024-02-14,126
plant_2,2024-02-15,128
plant_3,2024-02-16,130
plant_0,2024-02-17,132
plant_1,2024-02-18,134
plant_2,2024-02-19,136
plant_3,2024-02-20,138
plant_0,2024-02-21,140
plant_1,2024-02-22,142
plant_2,2024-02-23,144
plant_3,2024-02-24,146
plant_0,2024-02-25,148
plant_1,2024-02-26,150
plant_2,2024-02-27,152
plant_3,2024-02-28,154
plant_0,2024-02-01,156
plant_1,2024-02-02,158
plant_2,2024-02-03,160
plant_3,2024-02-04,162
plant_0,2024-02-05,164
plant_1,2024-02-06,166
plant_2,2024-02-07,168
plant_3,2024-02-08,170
plant_0,2024-02-09,172
plant_1,2024-02-10,174
plant_2,2024-02-11,176
plant_3,2024-02-12,178
plant_0,2024-02-13,180
plant_1,2024-02-14,182
plant_2,2024-02-15,184
plant_3,2024-02-16,186
plant_0,2024-02-17,188
plant_1,2024-02-18,190
plant_2,2024-02-19,192
plant_3,2024-02-20,194
plant_0,2024-02-21,196
plant_1,2024-02-22,198
plant_2,2024-02-23,200
plant_3,2024-02-24,202
plant_0,2024-02-25,204
plant_1,2024-02-26,206
plant_2,2024-02-27,208
plant_3,2024-02-28,210
plant_0,2024-02-01,212
plant_1,2024-02-02,214
plant_2,2024-02-03,216
plant_3,2024-02-04,218
