date,site,temp_c
2024-01-01,site_0,15.0
2024-01-02,site_1,15.1
2024-01-03,site_2,15.2
2024-01-04,site_3,15.3
2024-01-05,site_4,15.4
2024-01-06,site_0,15.5
2024-01-07,site_1,15.6
2024-01-08,site_2,15.7
2024-01-09,site_3,15.8
2024-01-10,site_4,15.9
2024-01-11,site_0,16.0
2024-01-12,site_1,16.1
2024-01-13,site_2,16.2
2024-01-14,site_3,16.3
2024-01-15,site_4,16.4
2024-01-16,site_0,16.5
2024-01-17,site_1,16.6
2024-01-18,site_2,16.7
2024-01-19,site_3,16.8
2024-01-20,site_4,16.9
2024-01-21,site_0,17.0
2024-01-22,site_1,17.1
2024-01-23,site_2,17.2
2024-01-24,site_3,17.3
2024-01-25,site_4,17.4
2024-01-26,site_0,17.5
2024-01-27,site_1,17.6
2024-01-28,site_2,17.7
2024-01-29,site_3,17.8
2024-01-30,site_4,17.9
2024-01-01,site_0,18.0
2024-01-02,site_1,18.1
2024-01-03,site_2,18.2
2024-01-04,site_3,18.3
2024-01-05,site_4,18.4
2024-01-06,site_0,18.5
2024-01-07,site_1,18.6
2024-01-08,site_2,18.7
2024-01-09,site_3,18.8
2024-01-10,site_4,18.9
2024-01-11,site_0,19.0
2024-01-12,site_1,19.1
2024-01-13,site_2,19.2
2024-01-14,site_3,19.3
2024-01-15,site_4,19.4
2024-01-16,site_0,19.5
2024-01-17,site_1,19.6
2024-01-18,site_2,19.7
2024-01-19,site_3,19.8
2024-01-20,site_4,19.9
